,Rank,Mark,Player Name,DOB,Nat,Pos,Venue,Date
0,,,,,,,,
1,94,10.54,Jalen SAUNDERS,1992,USA,2h1,"Clovis, CA (USA)",04 JUN 2010
2,94,10.54,Jonathan DOWNARD,,USA,3h1,"Clovis, CA (USA)",04 JUN 2010
3,94,10.54,Yiğitcan HEKIMOĞLU,27 APR 1992,TUR,2f3,Bursa (TUR),05 JUN 2010
4,94,10.54,Hassan TAFTIAN,04 MAY 1993,IRI,1,Tehran (IRI),11 JUL 2010
5,94,10.54,Ayobani OYEBIYI,30 OCT 1992,NGR,3h4,"Croix-Bleue Medavie Stadium, Moncton (CAN)",20 JUL 2010
6,106,10.55,Jeffery JOSEPHS,15 APR 1991,JAM,3,Kingston (JAM),26 MAR 2010
7,106,10.55,Gustavo Alberto MORUA,25 SEP 1991,MEX,2f2,Ciudad de México (MEX),27 MAR 2010
8,106,10.55,Sean STUART,04 DEC 1995,USA,4h2,"Charlotte, NC (USA)",27 MAY 2010
9,106,10.55,George FARMER,,USA,4,"Norwalk, CA (USA)",28 MAY 2010
10,106,10.55,Kadeem KUSHIMO,22 MAY 1991,USA,4,"Greensboro, NC (USA)",18 JUN 2010
11,106,10.55,Ronald DARBY,02 JAN 1994,USA,1,"Sacramento, CA (USA)",31 JUL 2010
12,112,10.56,Nzodinma ANIAGOLU,30 MAY 1993,NGR,3sf2,Lagos (NGR),01 MAY 2010
13,112,10.56,Ka Fung NG,27 OCT 1992,HKG,1,Hong Kong (HKG),10 OCT 2010
14,114,10.57,Alfred HIGGS,31 DEC 1991,BAH,2,Freeport (BAH),13 MAR 2010
15,114,10.57,Antonio RODRÍGUES,12 JAN 1993,BRA,1h2,Sao José do Rio Preto (BRA),20 MAR 2010
16,114,10.57,Elvis UKALE,06 MAR 1991,NGR,5,Kaduna (NGR),27 MAR 2010
17,114,10.57,Arturo RAMÍREZ,19 APR 1991,VEN,2,Caracas (VEN),29 APR 2010
18,118,10.58,Randall CARROLL,13 APR 1991,USA,2,"Los Angeles, CA (USA)",28 MAR 2010
19,118,10.58,Trey FRANKS,27 MAR 1992,USA,1h3,"Austin, TX (USA)",02 APR 2010
20,118,10.58,Wayde VAN NIEKERK,15 JUL 1992,RSA,4,Germiston (RSA),10 APR 2010
21,118,10.58,LeVonte WHITFIELD,08 OCT 1993,USA,1h1,"Winter Park, FL (USA)",01 MAY 2010
22,118,10.58,Errol NOLAN,18 AUG 1991,USA,3f1,"Houston, TX (USA)",06 MAY 2010
23,118,10.58,Olmes Andrés BELTRÁN,10 APR 1991,COL,1,Bogotá (COL),25 JUN 2010
24,118,10.58,Remigiusz OLSZEWSKI,20 SEP 1992,POL,3f1,Białystok (POL),26 JUN 2010
25,118,10.58,Daniel TALBOT,01 MAY 1991,GBR,5f1,Eton (GBR),31 JUL 2010
